COD_CURSO;NOME_UNIDADE;COD_ESTRUTURADO;COD_DISCIPLINA;NOME_DISCIPLINA;PERIODO_IDEAL;CH;CH_TOTAL;TIPO_AULA;TIPO_DISCIPLINA;NUM_VERSAO;SIT_VERSAO;TOTAL_CH;TOTAL_CR;CH_TOTAL_CURSO;SIT_CURRICULO
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;ELC206;ESTRUTURA DE DADOS II;4;30;60;Te¢rica;Obrigat¢ria;1992;INATIVO;2445;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;ELC207;LINGUAGEM DE PROGRAMACAO;4;30;60;Pr†tica;Obrigat¢ria;1992;INATIVO;2445;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;ELC207;LINGUAGEM DE PROGRAMACAO;4;30;60;Te¢rica;Obrigat¢ria;1992;INATIVO;2445;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;ELC306;INTRODUCAO A ELETRONICA I;4;30;60;Pr†tica;Obrigat¢ria;1992;INATIVO;2445;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;ELC306;INTRODUCAO A ELETRONICA I;4;30;60;Te¢rica;Obrigat¢ria;1992;INATIVO;2445;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;MTM224;MêTODOS NUMêRICOS COMPUTACIONAIS;4;30;60;Pr†tica;Obrigat¢ria;1992;INATIVO;2445;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;MTM224;MêTODOS NUMêRICOS COMPUTACIONAIS;4;30;60;Te¢rica;Obrigat¢ria;1992;INATIVO;2445;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;ELC307;INTRODUCAO A ELETRONICA II;5;30;60;Pr†tica;Obrigat¢ria;1992;INATIVO;2445;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;ELC307;INTRODUCAO A ELETRONICA II;5;30;60;Te¢rica;Obrigat¢ria;1992;INATIVO;2445;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;ELC308;BANCO DE DADOS;5;15;60;Pr†tica;Obrigat¢ria;1992;INATIVO;2445;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;ELC308;BANCO DE DADOS;5;45;60;Te¢rica;Obrigat¢ria;1992;INATIVO;2445;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;ELC309;"ENGENHARIA DE ""SOFTWARE""";5;60;60;Te¢rica;Obrigat¢ria;1992;INATIVO;2445;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;ELC310;PROGRAMACAO DE SISTEMAS DE COMPUTACAO;5;15;60;Pr†tica;Obrigat¢ria;1992;INATIVO;2445;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;ELC310;PROGRAMACAO DE SISTEMAS DE COMPUTACAO;5;45;60;Te¢rica;Obrigat¢ria;1992;INATIVO;2445;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;ELC502;CIRCUITOS DIGITAIS;5;15;60;Pr†tica;Obrigat¢ria;1992;INATIVO;2445;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;ELC502;CIRCUITOS DIGITAIS;5;45;60;Te¢rica;Obrigat¢ria;1992;INATIVO;2445;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;ELC311;ANALISE E PROJETO DE SISTEMAS I;6;30;60;Pr†tica;Obrigat¢ria;1992;INATIVO;2445;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;ELC311;ANALISE E PROJETO DE SISTEMAS I;6;30;60;Te¢rica;Obrigat¢ria;1992;INATIVO;2445;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;ELC312;LINGUAGENS FORMAIS;6;60;60;Te¢rica;Obrigat¢ria;1992;INATIVO;2445;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;ELC313;SISTEMAS DIGITAIS;6;15;60;Pr†tica;Obrigat¢ria;1992;INATIVO;2445;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;ELC313;SISTEMAS DIGITAIS;6;45;60;Te¢rica;Obrigat¢ria;1992;INATIVO;2445;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;ELC314;SISTEMAS OPERACIONAIS;6;15;60;Pr†tica;Obrigat¢ria;1992;INATIVO;2445;133;2685;ATIVA
